0	110
1	210
2	310
3	410
4	510
5	610
6	710
7	810
8	910
9	1010
10	1110
11	1210
12	1310
13	1410
14	1510
15	1610
16	1710
17	1810
18	1910
19	2010
20	2110
21	2210
22	2310
23	2410
24	2510
25	2610
26	2710
27	2810
28	2910
29	3010
30	3110
31	3210
32	3310
33	3410
34	3510
35	3610
36	3710
37	3810
38	3900
39	3977
40	4028
41	4055
42	4045
43	4015
44	3999
45	3958
46	3931
47	3931
48	3938
49	3960
50	3985
51	3997
52	4004
53	4004
54	4015
55	4042
56	4080
57	4101
58	4103
59	4071
60	4028
61	4002
62	3988
63	4006
64	4028
65	4046
66	4030
67	4000
68	3995
69	3995
70	4017
71	4027
72	4035
73	4024
74	4006
75	3994
76	3982
77	3982
78	4000
79	3997
80	4008
81	4004
82	4001
83	4004
84	3997
85	3995
86	3994
87	3990
88	3992
89	3986
90	3993
91	3984
92	3997
93	3993
94	4001
95	3982
96	3984
97	3988
98	3988
99	4002
